q_1,q_3,V_0,opt L,max error T,mean square error T,max error c,mean square error c
0.1,1,0.001,0.414891602243364,0.0528383106621461,0.000476929732621886,0.0386278271750198,7.71823384550294e-05
0.1,1,0.002,0.325541371302264,0.00572920622124801,3.18560140183366e-06,0.0372834296453338,2.20107155251913e-06
0.1,1,0.003,0.266934365682976,0.0026988924883139,3.59060378312716e-07,0.0318429419249421,1.20259997494453e-06
0.1,1,0.004,0.23078790811297,0.00231798315495246,1.72315030773092e-07,0.0265482628824688,1.04388719057754e-06
0.1,1,0.005,0.206259627694452,0.0024640329567891,1.98512207140151e-07,0.0219851531245262,9.65163926553673e-07
0.5,5,0.001,0.414888376911896,0.00397190554098117,1.04598031159138e-06,0.0505498502024082,2.78853886921632e-07
0.5,5,0.002,0.269211975659635,0.039607691562832,0.000105322140335548,0.0446818311233085,2.09678033664189e-05
0.5,5,0.003,0.206397181637183,0.118505104204976,0.000845951511533294,0.0378375886463543,0.000386466654469719
0.5,5,0.004,0.196641596361849,0.0747700320372738,0.000269195791916202,0.0389092627361319,0.000268175735112986
0.5,5,0.005,0.187035444583401,0.0474022856306335,0.000102919599986107,0.0396176446180629,0.000183357541377424
1,10,0.001,0.431145569439477,0.003443032320547,3.23007205255518e-07,0.0654235750463953,2.6630412074245e-06
1,10,0.002,0.293432671345269,0.00407311022811049,5.4566410838282e-07,0.0629557236968169,1.25441403360917e-06
1,10,0.003,0.231321426106776,0.0127781701681787,1.95520918206837e-06,0.0599925346979683,1.22168597184808e-05
1,10,0.004,0.189782399806206,0.0409017161625932,5.87667152341617e-05,0.0557031402353804,4.43459027163014e-05
1,10,0.005,0.152450637922772,0.137242639762025,0.00126209793207884,0.0478210594478762,0.000520738218316819
